formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C6H14N2O2	[M + Na]+	C6H14N2NaO2+	1.000	1.000	32.871	30.033	2.837	8	0.247	6.045	6.045	-0.168		169.095	30	0.494	836967632542213482	836967451440547111	836967451440547110	40	
1	C7H11F3N4O6	[M + Na]+	C7H11F3N4NaO6+	0.213	0.152	8.562	5.803	2.760	2	0.988	-2.839	2.839	-2.567		327.051	30	0.498	836967634563868251	836967450253558999	836967450253558998	20	
1	C5H12N4O5	[M - H2O + H]+	C5H11N4O4+	0.729	0.333	50.061	47.920	2.140	13	0.406	5.073	5.270	-94262.445		191.077	30	0.498	836967635750856347	836967450190644435	836967450186450130	19	
1	C9H17N4O8PS	[M + Na]+	C9H17N4NaO8PS+	0.450	0.264	13.203	11.013	2.190	3	0.978	-1.058	1.058	-1.599		395.039	30	0.498	836967645817186590	836967450547160299	836967450547160298	25	
1	C4H10N4O5	[M - H2O + H]+	C4H9N4O4+	0.430	0.275	14.759	14.759	0.000	5	0.109	3.002	6.718	-101724.117		177.061	30	0.498	836967634446427709	836967450123535567	836967450123535566	18	
1	C6H9F3N4O6	[M + Na]+	C6H9F3N4NaO6+	0.469	0.536	14.472	11.920	2.551	2	0.984	-3.375	3.375	-2.745		313.036	30	0.498	836967637613127431	836967450375193823	836967450370999518	22	
1	C8H16N2O12	[M + Na]+	C8H16N2NaO12+	0.946	0.952	28.942	26.748	2.194	8	0.964	0.304	2.364	-5.026		355.058	30	0.498	836969392384128225	836967450769458427	836967450765264122	29	
1	C9H14N8O9P2	[M + Na]+	C9H14N8NaO9P2+	0.130	0.229	4.655	2.319	2.335	1	0.788	0.257	0.257	2.963		463.026	30	0.499	836967633905362411	836967450438108387	836967450433914082	23	
1	C22H18Cl2N2O6S	[M + Na]+	C22H18Cl2N2NaO6S+	0.139	0.187	10.945	10.945	0.000	6	0.992	0.753	0.911	-2.379		531.014	30	0.500	836967646366640535	836967450492634343	836967450492634342	24	
1	C4H11NO9	[M - H2O + H]+	C4H10NO8+	0.172	0.157	1.767	1.767	0.000	0	0.000	2.631	2.631	-90031.547		200.041	30	0.505	836967633955694078	836967451000145159	836967450995950854	32	
1	C7H16O19P4	[M + K]+	C7H16KO19P4+	1.000	1.000	3.881	3.881	0.000	2	0.447	-3.277	3.277	3.982		566.889	30	0.506	836967629295822120	836967450920453379	836967450916259074	31	
1	C2H11N2O20P3	[M + Na]+	C2H11N2NaO20P3+	0.587	0.591	9.626	7.003	2.622	3	0.335	-1.654	1.654	0.899		498.901	30	0.507	836967630407312720	836967451117585679	836967451113391374	34	
1	C6H6N2O15P2	[M + Na]+	C6H6N2NaO15P2+	1.000	1.000	18.404	12.872	5.531	6	0.509	0.606	3.323	0.786		430.914	30	0.507	836967632630293888	836967451058865419	836967451058865418	33	
