cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:1F12	ATTRIBUTE_group:GNPSGROUP:Control_LB	ATTRIBUTE_group:GNPSGROUP:phzC	ATTRIBUTE_group:GNPSGROUP:pvdE	ATTRIBUTE_group:GNPSGROUP:R47	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:1.0	ATTRIBUTE_replicate:GNPSGROUP:2.0	ATTRIBUTE_replicate:GNPSGROUP:3.0	ATTRIBUTE_replicate:GNPSGROUP:4.0
486	298.08989544681697	1.5323681	0	16266671.75	0.0	1953051.2000000002	2798929.175	2607057.95	0	6131697.5	5820184.85	5713569.125	5960258.6
487	355.16791957480984	1.5301104	0	13065248.5	5492075.5	10531179.75	13378641.0	9556320.5	0	11429368.5	11577430.25	11887349.0	11637242.0
488	276.10800309062523	1.531491	0	13476702.75	0.0	2173797.9	1990967.4	3248449.425	0	5399258.725	5898852.375	4592725.225	4999081.15
489	350.1381131528076	1.5342768	0	1957786.25	1917332.6	7706804.75	8700635.0	7683338.625	0	6941346.125	6318458.5	6546286.5	6242473.5
490	709.3287496201608	1.5304463	0	4634989.2	5283644.5	3755205.15	3248139.7	4345524.425	0	3148782.7	4228313.75	4613945.15	3992816.875
491	431.2140282427106	1.536052	0	17580553.5	18189720.0	18836341.5	20635132.5	19161675.0	0	19444516.0	17999225.0	19898373.5	18871588.0
492	167.08954078354617	1.5270314	0	18234168.45	242420210.0	44670666.25	10368637.5	68769182.5	0	43079247.0	39698841.5	31816095.75	27448470.45
493	322.1863989467464	1.5635285	0	0.0	6583276.0	1031265.025	1344968.65	1238515.75	0	929179.525	917878.8	699389.05	1068302.05
494	219.1341864040748	1.557691	0	0.0	22915604.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
495	332.1817134304037	1.5521864	0	6720875.25	6990856.5	7328070.375	7687770.875	7011869.25	0	7134627.875	7068761.875	7179067.0	7366129.0
496	362.1925884749206	1.5525473	0	4823020.25	4651063.0	5902591.75	6224213.25	5764809.625	0	5585518.25	5506211.125	5600993.875	6021911.625
497	347.1927258718939	1.5545354	0	85865582.5	107460856.0	15713841.0	14938233.0	19167822.0	0	36170222.75	31379881.25	32462074.5	35673300.0
498	169.09726601757075	1.5556852	0	49230842.5	32161166.0	42478965.0	46889677.5	38665725.5	0	43040394.5	43998147.5	44653261.0	45573407.5
499	361.67372231069686	1.5592078	0	7624391.75	8184662.0	1733440.8	1885104.125	2104595.15	0	3677978.1	3208100.9749999996	3018431.45	3443021.3
500	227.10298790418744	1.5584296	0	9134560.25	6912855.5	8162578.25	8918790.25	7930966.875	0	8321398.0	8527296.25	8494912.75	8803288.625
501	181.09739528880445	1.5689654	0	10552454.125	21604016.0	12990572.25	11788523.0	13165887.25	0	12550374.5	12201299.25	11181698.625	12564064.25
502	267.0776067355294	1.5689621	0	15661841.25	17401856.0	15700313.5	18006774.5	15744677.0	0	17032736.75	15938601.75	15269450.25	16872817.5
503	245.0956767515373	1.5689654	0	18761725.5	44604264.0	23053396.0	20615742.5	23405493.0	0	21700646.5	21976343.0	20146484.5	22012883.0
504	318.16623579883714	1.5705284	0	9070554.0	9867750.0	10489839.75	10567501.75	10252943.5	0	9731227.75	10323361.5	9599031.5	10727218.25
505	446.2434537583689	1.5709156	0	11126949.0	23462626.0	14847583.75	14566625.5	14555518.25	0	12585151.25	13887937.25	13679312.75	14944275.25
