cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:1F12	ATTRIBUTE_group:GNPSGROUP:Control_LB	ATTRIBUTE_group:GNPSGROUP:phzC	ATTRIBUTE_group:GNPSGROUP:pvdE	ATTRIBUTE_group:GNPSGROUP:R47	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:1.0	ATTRIBUTE_replicate:GNPSGROUP:2.0	ATTRIBUTE_replicate:GNPSGROUP:3.0	ATTRIBUTE_replicate:GNPSGROUP:4.0
1105	478.1468302345982	5.0834846	0	4528310.95	4511910.0	5617972.375	5533288.125	5066895.0	0	5031527.75	4864853.25	5547813.375	5302272.075
1106	668.3619400106528	5.0561233	0	13440554.75	19483814.0	16441553.5	16386965.5	18159496.5	0	17837812.5	16070303.5	14185804.5	16334649.75
1107	576.3508576282361	5.0784063	0	61670793.5	81519850.0	89668767.5	92193327.5	91765968.5	0	78502540.0	78933477.5	93474856.0	84387983.5
1108	742.3980829871882	5.090529	0	2850896.6	2671142.0	5900841.0	5683190.375	5613165.0	0	4747550.625	5137971.925	5195997.05	4966573.375
1109	440.1909327895855	5.091413	0	18686911.0	22105800.0	23791673.5	22832803.5	23043036.0	0	21810759.5	22409013.0	22185459.0	21949192.5
1110	402.23477656938775	5.097006	0	41789845.0	47292624.0	52914863.0	51735102.0	53013516.0	0	49275936.0	50395127.0	51040934.0	48741329.0
1111	279.1339478189951	5.097511	0	5344620.75	17256568.0	2616114.675	1884640.5	3380260.425	0	4258983.15	3181891.65	3038532.0	2746229.55
1112	722.3490040611605	5.1075006	0	29678441.0	42015700.0	35238060.0	33212104.0	35692090.5	0	31847789.5	35259401.0	34400387.5	32313117.5
1113	763.3342276225609	5.108665	0	5184044.0	6391221.5	5695012.5	5629646.625	6366054.625	0	5470673.375	5952772.625	5803631.5	5647680.25
1114	245.0768102503337	5.0949187	0	1208035.475	9449167.0	315157.35	0.0	609318.1499999999	0	619086.85	598778.75	597964.1499999999	316681.225
1115	684.3931822367088	5.120392	0	81146451.0	96551390.0	94527747.5	95223776.5	103236722.5	0	88017934.0	97726106.0	91898261.5	96492396.0
1116	223.10775212724948	5.1353464	0	325520.625	16843308.0	0.0	0.0	0.0	0	325520.625	0.0	0.0	0.0
1117	233.14959655914427	5.128935	0	0.0	21702888.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1118	299.100343186087	5.132725	0	764704.375	15795980.0	1628000.375	290254.375	1498425.175	0	1231210.875	1180628.375	836188.0	933357.05
1119	261.1445384922011	5.1388273	0	3152016.875	28562918.0	3908138.7	2616089.625	3820773.3	0	3806101.35	3397197.95	3201038.0	3092681.2
1120	243.1339383060528	5.1422305	0	3650715.075	30443990.0	4458143.7	3170303.525	4528913.625	0	4429674.7	4033850.7	3805524.7	3539025.825
1121	331.1166542338075	5.1635017	0	4535669.1	11993053.0	8176276.375	7433888.25	7299031.875	0	6412230.55	7108802.375	7200571.125	6723261.55
1122	293.1607112367104	5.163435	0	1226265.5	4169908.2	2620745.375	2457005.175	2376454.8	0	1803175.425	2316733.925	2341042.825	2219518.675
